bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,date_year,date_month,date_day_encoded,city_encoded,statezip_encoded,country_encoded,price
3.0,1.75,7.496097345175956,10.047761041692553,1.0,0,0,3,1800,0.0,1968,1997,2014,5,0,7,10,0,284000.0
5.0,2.5,7.701200180857446,9.175334762777368,1.0,0,0,3,1460,6.621405651764134,1976,0,2014,5,0,5,9,0,470000.0
4.0,1.5,7.560601162768557,9.210440366976517,1.0,0,0,4,1070,6.7464121285733745,1954,1979,2014,5,0,3,5,0,430000.0
5.0,3.25,8.205491613120236,9.392328539868899,2.0,0,2,3,3660,0.0,2006,0,2014,5,0,38,38,0,785000.0
3.0,3.25,7.186144304522325,7.191429330036379,2.0,0,0,3,1040,5.638354669333745,2008,0,2014,5,0,35,74,0,385000.0
2.0,2.5,7.396948602621014,7.221835825288449,2.0,0,0,3,1280,5.860786223465865,2009,0,2014,5,0,35,49,0,295000.0
4.0,2.5,8.105005537547246,8.77971129020447,2.0,0,0,3,3310,0.0,2012,1912,2014,5,0,38,38,0,555000.0
3.0,2.5,7.893945138235959,8.61974977974133,2.0,0,0,3,2680,0.0,2013,1923,2014,5,0,27,27,0,459990.0
4.0,3.25,7.912423121473705,10.897017064751084,1.0,0,0,3,1560,7.065613363597717,2007,0,2014,5,0,32,37,0,625000.0
3.0,2.5,7.840312983320164,8.527341522468053,2.0,0,0,3,2540,0.0,2006,0,2014,5,0,18,26,0,300000.0
4.0,2.75,7.979681302387741,8.795733605950735,2.0,0,0,3,2920,0.0,2012,1912,2014,5,2,32,37,0,625000.0
2.0,1.0,6.803505257608338,8.517393171418904,1.0,0,0,3,900,0.0,1944,0,2014,5,2,35,56,0,553000.0
3.0,2.5,7.409136443920128,9.550733483340633,1.0,0,0,4,1130,6.255750041753367,1986,0,2014,5,2,16,15,0,379880.0
3.0,1.0,6.918695219020472,9.204925739274683,1.0,0,0,4,1010,0.0,1973,0,2014,5,2,38,38,0,310000.0
2.0,2.5,7.893945138235959,8.9082888855571,1.0,0,0,3,2680,0.0,2004,2003,2014,5,3,31,32,0,775000.0
3.0,2.5,7.696667081526462,8.902591637374087,1.0,0,0,5,1570,6.447305862541213,1988,0,2014,5,3,32,36,0,365000.0
4.0,2.5,7.836369760545124,9.203718495667296,2.0,0,2,3,2010,6.255750041753367,1990,2009,2014,5,3,1,45,0,331950.0
3.0,2.5,7.955425088912672,8.872206756028303,2.0,0,0,3,1990,6.7580945044277305,1980,0,2014,5,3,35,59,0,783500.0
4.0,2.0,7.732369222284388,8.701346403039162,1.0,0,0,3,1140,7.039660349862076,1900,2005,2014,5,3,35,59,0,628000.0
3.0,2.5,7.550135342488429,9.076237387452702,2.0,0,0,3,1900,0.0,1987,2000,2014,5,1,33,42,0,560000.0
3.0,1.0,7.193685818395112,11.264117891900502,1.0,0,0,3,1330,0.0,1928,1954,2014,5,1,19,21,0,900000.0
2.0,3.0,7.147559271189454,7.069874128458572,2.0,0,0,3,1110,5.081404364984463,2000,0,2014,5,1,35,47,0,531000.0
4.0,3.0,7.682943169878292,8.294299608857235,2.0,0,0,4,1610,6.329720905522696,1982,2011,2014,5,1,35,53,0,831000.0
4.0,2.5,7.912423121473705,9.23815007261545,2.0,0,2,3,2730,0.0,1996,0,2014,5,1,33,42,0,780000.0
4.0,2.5,7.659642954564682,9.230437073675304,1.0,0,0,4,1620,6.2166061010848646,1960,2001,2014,5,1,3,4,0,755000.0
3.0,2.5,7.820439515262181,8.37655086161377,2.0,0,0,3,2490,0.0,2003,0,2014,5,1,16,17,0,705380.0
4.0,2.25,7.596392304064196,8.950662495933999,1.0,0,0,3,1210,6.660575149839686,1973,2013,2014,5,1,16,15,0,627000.0
4.0,3.0,8.213652703029998,9.199582715323222,2.0,0,0,3,3690,0.0,1998,2006,2014,5,1,33,43,0,865000.0
2.0,1.0,7.840312983320164,8.853808274977197,1.0,0,0,5,1320,7.107425474110705,1942,0,2014,5,1,35,57,0,580000.0
3.0,2.25,7.496097345175956,10.510668264544881,1.0,0,0,4,1360,6.089044875446846,1978,2000,2014,5,1,16,15,0,410000.0
4.0,3.0,7.75833346749091,8.860641041773876,1.0,0,0,4,1340,6.90875477931522,1979,0,2014,5,1,19,22,0,485000.0
2.0,1.75,7.65491704784832,9.161150127785412,1.0,0,0,2,2110,0.0,1948,0,2014,5,1,36,67,0,400000.0
2.0,1.0,7.039660349862076,8.594339400592892,1.0,0,0,5,1140,0.0,1908,0,2014,5,1,35,53,0,549000.0
3.0,1.75,7.300472814267799,7.689828668736484,2.5,0,0,3,1480,0.0,2005,0,2014,5,1,19,21,0,620000.0
2.0,3.0,7.252053951852814,7.123672785204607,2.0,0,0,3,1140,5.602118820879701,2006,0,2014,5,1,35,63,0,405000.0
2.0,1.0,7.0909098220799835,8.99516499031115,1.0,0,0,4,1200,0.0,1958,1972,2014,5,1,10,73,0,232000.0
5.0,2.5,8.064950891749143,9.532930988916153,2.0,0,0,4,3180,0.0,1990,0,2014,5,1,19,21,0,800866.0
3.0,1.5,7.6783263565068856,9.105090961257085,1.0,0,2,4,1400,6.634633357861686,1949,1985,2014,5,1,35,70,0,650000.0
6.0,1.75,7.979681302387741,8.517393171418904,2.5,0,0,4,2780,4.948759890378168,1908,0,2014,5,1,35,59,0,823000.0
3.0,2.0,7.762596048540069,8.648396877031582,1.5,0,0,4,1810,6.293419278846481,1939,1989,2014,5,1,35,53,0,770000.0
3.0,1.75,7.353081920515432,8.616314282284044,1.0,0,0,4,780,6.660575149839686,1944,0,2014,5,1,35,74,0,524000.0
5.0,2.75,7.916078096302786,9.039196115772354,1.0,0,0,4,1370,7.223295679562314,1960,2001,2014,5,1,3,5,0,541125.0
3.0,2.5,7.427144133408616,7.601402334583733,3.0,0,0,3,1680,0.0,1909,1998,2014,5,1,35,48,0,670000.0
5.0,2.5,8.036249942132116,9.453364978883542,1.0,0,0,3,1750,7.201170883281678,1968,1997,2014,5,1,14,13,0,384900.0
3.0,2.25,7.252053951852814,7.195187320178709,3.0,0,0,3,1410,0.0,2005,0,2014,5,1,35,47,0,406100.0
5.0,3.5,8.296795865770052,9.049114723476961,2.0,0,1,5,2850,7.057036981697891,1971,0,2014,5,1,35,48,0,1395000.0
4.0,2.5,8.064950891749143,9.994470200248,2.0,0,3,3,3180,0.0,2000,0,2014,5,1,32,37,0,736500.0
3.0,2.25,7.606387389772652,8.699681400989514,1.0,0,0,3,1330,6.523562306149512,1975,0,2014,5,1,31,31,0,570000.0
3.0,1.75,7.193685818395112,8.922791623969637,1.0,0,0,3,1330,0.0,1961,2004,2014,5,1,3,3,0,787000.0
4.0,2.5,7.771067086065406,8.77971129020447,2.0,0,0,3,2370,0.0,1998,2006,2014,5,1,1,45,0,328000.0
5.0,2.0,7.518064181233078,9.13140538388804,1.0,0,0,4,1540,5.707110264748875,1942,1958,2014,5,1,35,62,0,435000.0
4.0,2.5,7.976251943745623,8.776475789346321,2.0,0,0,3,2910,0.0,2006,0,2014,5,1,38,38,0,499000.0
4.0,1.0,7.635786861395585,8.925321416943886,1.0,0,0,3,1160,6.814542897259958,1963,2008,2014,5,1,3,7,0,501000.0
2.0,1.0,6.734591659972948,8.614501373883236,1.0,0,0,3,840,0.0,1955,2005,2014,5,1,35,63,0,400000.0
4.0,1.5,7.123672785204607,9.169622538697624,1.0,0,0,3,1240,0.0,1971,0,2014,5,1,14,13,0,220000.0
4.0,1.0,7.237778191923443,8.352554369474591,1.0,0,0,3,1050,5.831882477283517,1924,2011,2014,5,1,35,47,0,657100.0
4.0,2.75,7.745435610274381,8.517393171418904,2.0,0,0,3,2310,0.0,2006,0,2014,5,1,21,23,0,309950.0
3.0,2.0,6.957497370876951,9.21761385594268,1.0,0,0,3,1050,0.0,1986,0,2014,5,1,11,11,0,300000.0
5.0,1.75,7.844240718141811,11.182683778099651,1.0,0,0,5,1810,6.608000625296087,1960,0,2014,5,1,16,15,0,525888.0
4.0,1.75,7.606387389772652,8.188966863648876,1.5,0,0,3,2010,0.0,1902,0,2014,5,1,35,58,0,740000.0
5.0,1.0,7.02197642307216,9.107532151994501,1.5,0,0,4,1120,0.0,1962,0,2014,5,1,19,22,0,340000.0
3.0,2.5,7.7102051944325325,8.294299608857235,2.0,0,0,3,2230,0.0,1954,2005,2014,5,1,35,64,0,398750.0
2.0,1.0,6.698268054115413,8.876125585396185,1.0,0,0,5,810,0.0,1944,0,2014,5,1,6,69,0,206000.0
5.0,2.75,8.068089626278244,9.736310733068626,1.0,0,3,3,1690,7.313886831633462,1976,0,2014,5,1,3,5,0,1030000.0
3.0,1.75,7.421177528595393,10.587593988443924,1.0,0,0,4,1670,0.0,1976,1992,2014,5,1,33,43,0,600000.0
4.0,1.75,7.58629630715272,9.147400572202308,1.0,0,0,5,1140,6.7226297948554485,1960,0,2014,5,1,36,62,0,379950.0
3.0,1.0,7.280008252884188,8.699681400989514,1.0,0,0,4,1450,0.0,1953,1983,2014,5,1,35,57,0,287000.0
3.0,2.5,7.53955882930103,8.966866554188723,2.0,0,0,3,1880,0.0,1994,0,2014,5,1,32,33,0,309950.0
3.0,1.75,7.53955882930103,8.757940876678804,1.0,0,0,4,1040,6.734591659972948,1945,0,2014,5,1,35,54,0,600000.0
3.0,2.0,7.252053951852814,8.704668113450987,1.5,0,0,4,1410,0.0,1930,0,2014,5,1,35,47,0,418000.0
4.0,2.0,7.300472814267799,8.254528881939745,1.5,0,0,5,1480,0.0,1928,1970,2014,5,1,35,62,0,449250.0
2.0,1.0,7.039660349862076,8.566173813637858,1.5,0,0,4,1140,0.0,1949,1985,2014,5,1,35,62,0,329950.0
3.0,1.75,7.560601162768557,9.13852208418571,1.0,0,0,3,1000,6.825460036255307,1984,0,2014,5,1,1,0,0,245000.0
4.0,2.5,7.976251943745623,8.754476306284166,2.0,0,0,3,2910,0.0,2008,0,2014,5,1,32,37,0,549000.0
3.0,2.5,8.083637203141548,8.969287400118406,2.0,0,0,3,3240,0.0,1994,0,2014,5,1,33,43,0,800000.0
3.0,2.0,7.346655163176539,9.618535084655214,1.0,0,0,4,1550,0.0,1958,1972,2014,5,1,32,37,0,249950.0
5.0,2.0,7.62608275807238,9.23024103368252,1.0,0,0,3,1430,6.431331081933479,1956,2001,2014,5,1,10,73,0,210000.0
2.0,2.5,7.7057128238944275,8.294299608857235,2.0,0,0,3,2220,0.0,2000,0,2014,5,1,35,53,0,1425000.0
2.0,1.0,7.479299637782834,9.0642735958414,1.5,0,0,3,1520,5.5254529391317835,1949,1998,2014,5,1,35,56,0,585000.0
4.0,1.75,7.741099090035366,9.367429587218957,1.0,0,0,4,1960,5.831882477283517,1977,0,2014,5,1,31,31,0,615000.0
3.0,2.0,7.496097345175956,8.517393171418904,1.0,0,0,4,1080,6.580639137284949,1942,1982,2014,5,1,35,54,0,618500.0
4.0,1.75,7.606387389772652,9.128262260940575,1.0,0,0,3,1470,6.293419278846481,1977,2004,2014,5,1,19,22,0,487585.0
3.0,2.5,7.490529402060711,7.901377353792616,2.0,0,0,3,1790,0.0,2010,0,2014,5,1,16,15,0,509900.0
4.0,2.5,7.80016307039296,8.802672840312818,2.0,0,0,3,2440,0.0,2014,0,2014,5,1,35,56,0,631625.0
3.0,2.5,7.57095858316901,8.074649075066652,2.0,0,0,3,1940,0.0,2009,0,2014,5,1,16,15,0,555000.0
2.0,1.5,7.057036981697891,7.271703706887368,2.0,0,0,3,1160,0.0,2001,0,2014,5,1,35,64,0,340000.0
4.0,2.5,8.131824785007195,9.179159254492609,2.0,0,0,3,3400,0.0,2007,0,2014,5,1,31,31,0,830000.0
4.0,4.25,8.394121193826242,8.657129031713755,2.0,0,0,3,3410,6.918695219020472,2006,0,2014,5,1,16,15,0,890000.0
3.0,3.0,7.360103972989152,7.609862200913554,3.0,0,0,3,1571,0.0,2008,0,2014,5,1,35,60,0,366750.0
3.0,2.25,7.390798521735676,6.906754778648554,2.5,0,0,3,1540,4.394449154672439,2010,0,2014,5,1,16,17,0,415000.0
3.0,2.5,7.25063551189868,6.897704943128636,3.0,0,0,3,1408,0.0,2005,0,2014,5,1,35,54,0,416286.0
3.0,2.5,8.019941687677365,8.419800845407588,2.0,0,0,3,3040,0.0,2007,0,2014,5,1,32,34,0,478000.0
5.0,3.5,8.409830673087738,8.699681400989514,2.0,0,0,3,3200,7.1631723908466425,2006,0,2014,5,1,16,15,0,890000.0
2.0,2.5,7.372118028337787,7.2633296174768365,2.0,0,0,3,1590,0.0,2014,0,2014,5,1,16,17,0,419190.0
4.0,2.5,7.804251383528112,8.354203562921775,2.0,0,0,3,2450,0.0,2013,1923,2014,5,1,31,31,0,712198.0
4.0,2.0,7.273092595999522,8.946505025998682,1.0,0,0,3,1200,5.484796933490655,1971,0,2014,5,5,19,22,0,397000.0
2.0,2.0,7.00397413672268,8.006700845440367,1.5,0,0,3,1100,0.0,1912,2005,2014,5,5,35,56,0,450000.0
3.0,1.0,7.208600337960199,8.954286157204713,1.0,0,0,4,860,6.19644412779452,1947,1988,2014,5,5,35,60,0,353000.0
4.0,2.5,7.67368812926773,10.544867642274191,2.0,0,0,3,2150,0.0,1985,0,2014,5,5,31,31,0,609000.0
3.0,1.75,7.307202314764738,9.032050676295599,1.0,0,0,4,1010,6.175867270105761,1975,0,2014,5,5,9,26,0,234000.0
3.0,2.0,7.601402334583733,8.853808274977197,2.0,0,0,3,2000,0.0,1916,1986,2014,5,5,35,63,0,561000.0
2.0,1.0,6.93828448401696,8.38958706681109,1.0,0,0,3,1030,0.0,1924,2011,2014,5,5,35,56,0,469000.0
2.0,1.0,6.580639137284949,8.808070154764538,1.0,0,0,3,720,0.0,1942,1999,2014,5,5,35,56,0,329350.0
5.0,2.0,7.611347717403621,8.517393171418904,1.5,0,0,4,2020,0.0,1938,0,2014,5,5,35,56,0,488000.0
3.0,1.75,7.365812837209472,9.00601857490256,1.0,0,1,4,1100,6.175867270105761,1962,0,2014,5,5,10,73,0,279900.0
4.0,2.5,7.65491704784832,9.536112711175099,2.0,0,0,3,2110,0.0,1987,2000,2014,5,5,16,15,0,606000.0
4.0,2.0,7.170888478512505,8.861491864286915,1.0,0,0,3,1300,0.0,1950,2013,2014,5,5,35,65,0,312000.0
3.0,1.5,7.396948602621014,8.919453168575453,1.0,0,1,3,1160,6.154858094016418,1940,1996,2014,5,5,35,54,0,650000.0
4.0,2.75,8.12296471523406,9.000113045928519,1.0,0,3,3,1970,7.244941546337007,1970,2014,2014,5,5,35,63,0,1135000.0
4.0,2.5,7.544861068658458,8.72534492491121,1.0,0,0,3,980,6.814542897259958,1980,0,2014,5,5,35,49,0,325000.0
4.0,2.0,7.327123292259293,8.9851948179913,1.0,0,0,5,1520,0.0,1967,0,2014,5,5,15,22,0,425000.0
2.0,1.0,6.803505257608338,8.548885638148727,1.0,0,0,3,900,0.0,1952,2008,2014,5,5,35,49,0,219000.0
3.0,1.0,6.957497370876951,8.835646922534773,1.0,0,0,3,1050,0.0,1954,2005,2014,5,5,36,62,0,250000.0
3.0,1.75,7.13966033596492,8.77971129020447,1.0,0,0,4,1260,0.0,1966,0,2014,5,5,3,7,0,390000.0
4.0,2.5,7.736743682453495,9.396653950039674,2.0,0,0,4,2290,0.0,1988,0,2014,5,5,3,5,0,736000.0
4.0,2.25,7.941295570906532,10.060534035475412,1.0,0,1,3,1710,7.00397413672268,1958,2004,2014,5,5,10,73,0,407000.0
3.0,2.5,7.409136443920128,9.53365499705667,2.0,0,0,3,1650,0.0,1998,2006,2014,5,5,7,10,0,272000.0
3.0,2.25,7.403061091090091,9.573245865665552,1.0,0,0,4,1140,6.2166061010848646,1963,0,2014,5,5,6,66,0,362000.0
3.0,2.5,7.523481312573497,9.221280312014517,2.0,0,0,3,1850,0.0,1991,0,2014,5,5,19,22,0,535000.0
4.0,2.5,7.601402334583733,8.592486175451668,2.0,0,0,3,2000,0.0,2003,0,2014,5,5,18,26,0,284000.0
3.0,1.5,7.252053951852814,9.174505918966966,1.0,0,0,3,1410,0.0,1961,2004,2014,5,5,36,70,0,367500.0
4.0,1.75,7.313886831633462,9.358846580275406,1.0,0,0,4,1000,6.2166061010848646,1955,2009,2014,5,5,17,16,0,379900.0
3.0,2.5,7.8083230503910555,10.913013585869802,2.0,0,0,4,2460,0.0,1980,0,2014,5,5,32,37,0,520000.0
3.0,1.0,6.918695219020472,8.858652969548489,1.0,0,0,3,1010,0.0,1954,2005,2014,5,5,32,35,0,175000.0
2.0,2.25,7.115582126184454,6.835184586147301,2.0,0,0,3,1020,5.351858133476067,2004,2003,2014,5,5,35,53,0,460000.0
4.0,2.5,7.754481547470383,8.249836485425702,2.0,0,0,3,2331,0.0,2007,0,2014,5,5,32,36,0,345000.0
5.0,2.5,7.714677473800927,8.958154135209242,1.0,0,0,3,1340,6.803505257608338,1978,0,2014,5,5,19,22,0,455000.0
4.0,3.0,7.804251383528112,9.222071294851881,1.0,0,0,5,1580,6.769641976852503,1967,0,2014,5,5,3,5,0,610000.0
4.0,3.0,8.03947991910045,9.647368744540465,2.0,0,0,3,2400,6.55250788703459,1996,0,2014,5,5,17,16,0,563000.0
4.0,2.0,7.630946580890459,8.517393171418904,1.0,0,0,3,1030,6.93828448401696,1949,2013,2014,5,5,35,56,0,612500.0
3.0,1.75,7.523481312573497,8.947025655972697,1.0,0,0,3,1320,6.274762021241939,1979,2014,2014,5,5,14,13,0,218000.0
4.0,1.75,7.518064181233078,9.27995971385624,1.0,0,0,3,960,6.78105762593618,1958,2004,2014,5,5,3,7,0,404000.0
4.0,2.0,8.227108234348146,10.386469103072121,2.0,0,0,3,3740,0.0,2000,0,2014,5,5,31,32,0,860000.0
3.0,1.5,7.259116128097101,9.057305735807121,1.0,0,0,3,1420,0.0,1962,2003,2014,5,5,14,13,0,136500.0
3.0,1.0,7.32052696227274,8.713417653379183,1.0,0,0,4,860,6.478509642208569,1940,2001,2014,5,5,35,54,0,313950.0
3.0,1.75,7.664346632098617,8.77971129020447,1.0,0,2,3,1170,6.8679744089702925,1954,2005,2014,5,5,35,74,0,575000.0
4.0,2.25,8.157943507105037,8.840290669088972,2.0,0,0,4,2280,7.099201743553092,1928,0,2014,5,5,35,74,0,1225000.0
3.0,1.75,7.396948602621014,9.375939552625749,1.0,0,0,4,1630,0.0,1971,0,2014,5,5,27,27,0,280000.0
3.0,2.5,7.490529402060711,8.877381954654766,2.0,0,0,3,1790,0.0,1989,0,2014,5,5,33,42,0,515000.0
4.0,2.5,7.601402334583733,8.645586406184636,2.0,0,0,3,2000,0.0,1996,0,2014,5,5,17,16,0,513000.0
4.0,2.25,7.72356247227797,10.306650011581617,2.0,0,0,4,1400,6.7580945044277305,1977,0,2014,5,5,3,5,0,599000.0
4.0,2.5,8.016647877057803,8.970177815492379,2.0,0,0,3,3030,0.0,1999,0,2014,5,5,33,42,0,685000.0
3.0,1.5,7.1785454837637,9.007121989469242,1.0,0,0,3,1310,0.0,1950,2005,2014,5,5,35,62,0,365000.0
4.0,2.5,8.263848131368906,9.585414998760278,2.0,0,0,3,3880,0.0,1987,2000,2014,5,5,33,42,0,762300.0
4.0,3.25,8.232440158470336,9.298442820197728,1.5,0,0,5,2400,7.215975002651466,1950,0,2014,5,5,35,48,0,1580000.0
5.0,2.25,8.019941687677365,9.001099725830965,2.0,0,0,3,3040,0.0,1984,0,2014,5,5,31,31,0,562000.0
5.0,2.5,7.976251943745623,9.173365135851288,1.0,0,0,4,1690,7.107425474110705,1964,0,2014,5,5,3,7,0,530000.0
3.0,2.5,7.9966538754626075,9.391494581018131,1.0,0,0,3,1770,7.0909098220799835,1995,0,2014,5,5,33,42,0,525000.0
2.0,1.75,7.415175109613295,8.699681400989514,1.0,0,0,3,1160,6.2166061010848646,1942,1999,2014,5,5,35,48,0,484000.0
4.0,2.5,8.071218539969863,9.423029465386534,2.0,0,0,3,3200,0.0,1998,2006,2014,5,5,25,37,0,725126.0
4.0,2.0,7.893945138235959,9.83996185165625,1.0,0,0,5,2680,0.0,1965,0,2014,5,5,1,0,0,360000.0
3.0,1.0,7.115582126184454,9.166283985779263,1.0,0,0,5,1230,0.0,1962,0,2014,5,5,25,34,0,387000.0
4.0,2.5,7.916078096302786,10.730575416949513,2.0,0,0,3,2740,0.0,1995,0,2014,5,5,42,44,0,483500.0
4.0,3.5,8.125926802707886,9.027738775974909,2.0,0,0,3,3380,0.0,2000,0,2014,5,5,36,70,0,655500.0
3.0,1.0,7.01301578963963,8.740496729931813,1.0,0,0,3,1110,0.0,1956,2001,2014,5,5,35,54,0,345000.0
