Date,Order_ID,Product,Category,Region,Quantity,Unit_Price,Total_Sales,Tax,Profit,Status
2024-06-26,ORD-1033,Monitor,Electronics,North,2,1355,2710,271.0,869.35,Completed
2024-08-09,ORD-1034,Laptop,Electronics,South,4,1354,5416,541.6,594.69,Pending
2024-05-29,ORD-1035,Webcam,Electronics,North,1,332,332,33.2,112.42,Cancelled
2024-08-21,ORD-1036,Webcam,Electronics,West,8,1224,9792,979.2,3644.75,Pending
2024-04-29,ORD-1037,Webcam,Electronics,West,4,1246,4984,498.4,666.99,Completed
2024-10-28,ORD-1038,Webcam,Electronics,West,5,55,275,27.5,63.51,Completed
2024-01-21,ORD-1039,Webcam,Electronics,West,10,633,6330,633.0,871.68,Returned
2024-04-18,ORD-1040,Monitor,Electronics,North,2,785,1570,157.0,540.16,Pending
2024-11-15,ORD-1041,Webcam,Electronics,East,3,60,180,18.0,59.66,Completed
2024-07-19,ORD-1042,Webcam,Electronics,North,7,1388,9716,971.6,1438.58,Returned
2024-10-29,ORD-1043,Laptop,Electronics,North,10,113,1130,113.0,241.52,Completed
2024-01-22,ORD-1044,Keyboard,Accessories,West,2,57,114,11.4,33.18,Cancelled
2024-09-22,ORD-1045,Keyboard,Accessories,East,8,24,192,19.2,47.73,Pending
2024-02-03,ORD-1046,Webcam,Electronics,West,5,336,1680,168.0,344.6,Cancelled
2024-02-28,ORD-1047,Mouse,Accessories,South,5,48,240,24.0,73.0,Returned
2024-06-06,ORD-1048,Headset,Accessories,North,6,19,114,11.4,43.01,Returned
2024-04-19,ORD-1049,Laptop,Electronics,North,5,413,2065,206.5,609.11,Returned
2024-10-25,ORD-1050,Headset,Accessories,South,1,57,57,5.7,11.96,Pending
2024-08-30,ORD-1051,Laptop,Electronics,West,9,407,3663,366.3,1129.97,Completed
2024-08-13,ORD-1052,Webcam,Electronics,East,7,260,1820,182.0,224.08,Returned
2024-11-23,ORD-1053,Webcam,Electronics,West,10,1192,11920,1192.0,3524.75,Cancelled
2024-06-20,ORD-1054,Monitor,Electronics,South,3,1204,3612,361.2,1389.08,Returned
2024-11-16,ORD-1055,Laptop,Electronics,West,5,1184,5920,592.0,2091.76,Cancelled
2024-06-14,ORD-1056,Mouse,Accessories,East,7,43,301,30.1,104.02,Returned
2024-05-10,ORD-1057,Webcam,Electronics,South,9,803,7227,722.7,2744.53,Cancelled
2024-12-11,ORD-1058,Monitor,Electronics,West,9,748,6732,673.2,2534.88,Cancelled
2024-10-22,ORD-1059,Mouse,Accessories,West,9,65,585,58.5,62.11,Returned
2024-05-18,ORD-1060,Webcam,Electronics,South,2,1175,2350,235.0,343.46,Pending
2024-09-18,ORD-1061,Webcam,Electronics,East,4,926,3704,370.4,807.94,Pending
2024-09-08,ORD-1062,Keyboard,Accessories,North,10,20,200,20.0,38.75,Cancelled
2024-12-08,ORD-1063,Webcam,Electronics,South,3,1146,3438,343.8,1236.72,Completed
2024-02-05,ORD-1064,Keyboard,Accessories,North,5,70,350,35.0,108.1,Pending
2024-04-11,ORD-1065,Webcam,Electronics,East,4,1078,4312,431.2,1360.15,Returned
2024-11-05,ORD-1066,Monitor,Electronics,South,3,438,1314,131.4,305.72,Cancelled
2024-03-24,ORD-1067,Mouse,Accessories,East,1,22,22,2.2,3.04,Pending
2024-10-07,ORD-1068,Keyboard,Accessories,East,3,86,258,25.8,83.74,Returned
2024-07-06,ORD-1069,Webcam,Electronics,West,9,728,6552,655.2,2234.51,Completed
2024-12-03,ORD-1070,Monitor,Electronics,West,5,891,4455,445.5,920.16,Pending
2024-10-09,ORD-1071,Monitor,Electronics,South,7,462,3234,323.4,580.88,Returned
2024-12-20,ORD-1072,Laptop,Electronics,East,2,809,1618,161.8,338.98,Returned
2024-04-22,ORD-1073,Mouse,Accessories,South,2,88,176,17.6,37.89,Pending
2024-03-12,ORD-1074,Headset,Accessories,West,6,86,516,51.6,65.58,Returned
2024-02-05,ORD-1075,Headset,Accessories,North,2,45,90,9.0,12.25,Completed
2024-09-27,ORD-1076,Monitor,Electronics,East,8,962,7696,769.6,920.33,Completed
2024-07-13,ORD-1077,Keyboard,Accessories,East,1,16,16,1.6,3.86,Returned
2024-04-30,ORD-1078,Laptop,Electronics,West,7,89,623,62.3,213.6,Cancelled
2024-07-11,ORD-1079,Headset,Accessories,South,7,10,70,7.0,16.84,Cancelled
2024-12-20,ORD-1080,Mouse,Accessories,East,1,43,43,4.3,4.55,Pending
2024-09-13,ORD-1081,Headset,Accessories,North,10,46,460,46.0,154.61,Pending
2024-07-15,ORD-1082,Mouse,Accessories,North,1,71,71,7.1,11.55,Pending
2024-02-23,ORD-1083,Monitor,Electronics,South,10,368,3680,368.0,1163.91,Returned
2024-01-29,ORD-1084,Keyboard,Accessories,West,9,55,495,49.5,164.26,Returned
2024-02-03,ORD-1085,Webcam,Electronics,North,5,785,3925,392.5,1057.93,Cancelled
2024-09-23,ORD-1086,Mouse,Accessories,West,7,44,308,30.8,84.4,Pending
2024-12-18,ORD-1087,Mouse,Accessories,West,7,90,630,63.0,146.21,Returned
2024-10-01,ORD-1088,Mouse,Accessories,East,2,92,184,18.4,18.41,Cancelled
2024-01-30,ORD-1089,Keyboard,Accessories,South,3,37,111,11.1,36.04,Returned
2024-08-01,ORD-1090,Headset,Accessories,South,10,88,880,88.0,90.87,Completed
2024-11-17,ORD-1091,Headset,Accessories,West,6,98,588,58.8,123.18,Cancelled
2024-07-28,ORD-1092,Keyboard,Accessories,North,4,64,256,25.6,56.05,Returned
2024-03-28,ORD-1093,Headset,Accessories,North,4,45,180,18.0,39.09,Pending
2024-02-24,ORD-1094,Laptop,Electronics,West,9,551,4959,495.9,1973.39,Completed
2024-10-06,ORD-1095,Monitor,Electronics,South,9,244,2196,219.6,513.13,Completed
2024-03-19,ORD-1096,Keyboard,Accessories,East,2,55,110,11.0,36.13,Cancelled
2024-08-09,ORD-1097,Keyboard,Accessories,West,10,79,790,79.0,127.96,Cancelled
2024-02-26,ORD-1098,Monitor,Electronics,West,6,1140,6840,684.0,1470.05,Returned
2024-02-22,ORD-1099,Mouse,Accessories,South,2,58,116,11.6,13.21,Completed
